RowNumber,CustomerId,CreditScore,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ
1,15634602.0,619,1,2,42,7,0.0,1,1,1,101348.88,1,2016-03-23 00:00:00
2,15647311.0,608,2,2,41,4,83807.86,1,0,1,112542.58,0,2018-10-09 00:00:00
3,15619304.0,502,1,2,42,4,159660.8,3,1,0,113931.57,1,2019-03-25 00:00:00
4,15701354.0,699,1,2,39,3,0.0,2,0,0,93826.63,0,2019-10-24 00:00:00
5,15737888.0,850,2,2,43,3,125510.82,1,1,1,79084.1,0,2019-11-22 00:00:00
6,15574012.0,645,2,1,44,4,113755.78,2,1,0,149756.71,1,2018-12-21 00:00:00
7,15592531.0,822,1,1,50,6,0.0,2,1,1,10062.8,0,2016-09-28 00:00:00
8,15656148.0,376,3,2,29,5,115046.74,4,1,0,119346.88,1,2018-04-20 00:00:00
9,15792365.0,501,1,1,44,5,142051.07,2,0,1,74940.5,0,2018-02-04 00:00:00
10,15592389.0,684,1,1,27,5,134603.88,1,1,1,71725.73,0,2018-05-27 00:00:00
11,15767821.0,528,1,1,31,7,102016.72,2,0,0,80181.12,0,2016-07-27 00:00:00
12,15737173.0,497,2,1,24,7,0.0,2,1,0,76390.01,0,2016-09-12 00:00:00
13,15632264.0,476,1,2,34,3,0.0,2,1,0,26260.98,0,2019-11-04 00:00:00
14,15691483.0,549,1,2,25,6,0.0,2,0,0,190857.79,0,2016-12-21 00:00:00
15,15600882.0,635,2,2,35,6,0.0,2,1,1,65951.65,0,2017-03-22 00:00:00
16,15643966.0,616,3,1,45,4,143129.41,2,0,1,64327.26,0,2019-01-18 00:00:00
17,15737452.0,653,3,1,58,4,132602.88,1,1,0,5097.67,1,2018-10-08 00:00:00
18,15788218.0,549,2,2,24,3,0.0,2,1,1,14406.41,0,2019-10-09 00:00:00
19,15661507.0,587,2,1,45,3,0.0,1,0,0,158684.81,0,2019-10-20 00:00:00
20,15568982.0,726,1,2,24,5,0.0,2,1,1,54724.03,0,2018-03-15 00:00:00
21,15577657.0,732,1,1,41,5,0.0,2,1,1,170886.17,0,2017-12-30 00:00:00
22,15597945.0,636,2,2,32,5,0.0,2,1,0,138555.46,0,2018-03-05 00:00:00
23,15699309.0,510,2,2,38,4,0.0,1,1,0,118913.53,1,2019-04-03 00:00:00
24,15725737.0,669,1,1,46,3,0.0,2,0,1,8487.75,0,2019-09-26 00:00:00
25,15625047.0,846,1,2,38,5,0.0,1,1,1,187616.16,0,2017-11-08 00:00:00
26,15738191.0,577,1,1,25,6,0.0,2,0,1,124508.29,0,2016-11-23 00:00:00
27,15736816.0,756,3,1,36,4,136815.64,1,1,1,170041.95,0,2018-10-26 00:00:00
28,15700772.0,571,1,1,44,4,0.0,2,0,0,38433.35,0,2018-12-02 00:00:00
29,15728693.0,574,3,2,43,5,141349.43,1,1,1,100187.43,0,2018-06-26 00:00:00
30,15656300.0,411,1,1,29,4,59697.17,2,1,1,53483.21,0,2019-08-22 00:00:00
31,15589475.0,591,2,2,39,5,0.0,3,1,0,140469.38,1,2017-11-12 00:00:00
32,15706552.0,533,1,1,36,4,85311.7,1,0,1,156731.91,0,2019-08-26 00:00:00
33,15750181.0,553,3,1,41,5,110112.54,2,0,0,81898.81,0,2018-09-03 00:00:00
34,15659428.0,520,2,2,42,4,0.0,2,1,1,34410.55,0,2019-08-28 00:00:00
35,15732963.0,722,2,2,29,6,0.0,2,1,1,142033.07,0,2017-01-31 00:00:00
36,15794171.0,475,1,2,45,5,134264.04,1,1,0,27822.99,1,2017-09-23 00:00:00
37,15788448.0,490,2,1,31,7,145260.23,1,0,1,114066.77,0,2016-04-09 00:00:00
38,15729599.0,804,2,1,33,4,76548.6,1,0,1,98453.45,0,2019-01-18 00:00:00
39,15717426.0,850,1,1,36,5,0.0,1,1,1,40812.9,0,2018-03-11 00:00:00
40,15585768.0,582,3,1,41,6,70349.48,2,0,1,178074.04,0,2016-11-22 00:00:00
41,15619360.0,472,2,1,40,5,0.0,1,1,0,70154.22,0,2018-05-11 00:00:00
